Open Time,Request ID,Status,Title,Close Time,Priority
6-30-2023 14:24,RF-23-082327,Completed,New employee Onboard - Jack Simon,,4 - Low
6-30-2023 15:07,RF-23-082338,Completed,New Joiner Setup,,4 - Low
04-07-2023 13:43,RF-23-083467,Completed,I Need a new monitor with docking for the new PC,,4 - Low
04-07-2023 14:41,RF-23-083485,Completed,Request for personal Hana accounts creation,,3 - Average
04-07-2023 17:00,RF-23-083563,Completed,PeopleStong mobile app onboard,,5 - Work Order
05-07-2023 13:31,RF-23-083973,Completed,Exclude VMWare ESXi host from Anti-virus and Patches update.,,4 - Low
06-07-2023 11:28,RF-23-084539,Completed,A new PC need to scan invoice from AP team,,3 - Average
06-07-2023 15:42,RF-23-084679,In Progress,Laptop replacement,,5 - Work Order
06-07-2023 16:50,RF-23-084716,In Progress,Power Toys Image reducer application,,5 - Work Order
06-07-2023 22:43,RF-23-084972,In Progress,Create new roles as per the below requirement.,,5 - Work Order
07-07-2023 00:38,RF-23-085022,In Progress,TeamViewer for John Gart,,5 - Work Order
8-18-2023 14:35,RF-23-085574,In Progress,Remove Repcelak SSS due to a new server is configured as a DP,,5 - Work Order
8-18-2023 14:44,RF-23-085695,In Progress,iPad 9 tablet purchase as part of the German NNU concept project,,3 - Average
8-18-2023 15:14,RF-23-085711,In Progress,for getting access to rapid7 InsightVM console,,3 - Average
8-18-2023 15:24,RF-23-087032,In Progress,New monitor with HDMI conection,,3 - Average
8-18-2023 15:25,RF-23-087202,Pending Approval,Re-activation of LE User Account,,3 - Average
8-18-2023 17:29,RF-23-087319,Pending Approval,Assign New Computer,,3 - Average
8-18-2023 18:28,RF-23-087621,Pending Approval,New Server - 1490,,3 - Average
8-18-2023 18:39,RF-23-087636,Pending Approval,Visio Software required,,3 - Average
8-18-2023 18:50,RF-23-090542,Pending Approval,Software for my new Laptop,,5 - Work Order